id	emotion
34170_0002_A_12	0.19671647250652313,0.689189076423645,0.6792092323303223,0.3418593406677246,0.16429735720157623,0
34170_0002_A_14	0.1835244745016098,1.526200771331787,1.2621480226516724,0.35893017053604126,0.10421766340732574,0
34170_0003_A_16	0.18354235589504242,1.5261636972427368,1.2621386051177979,0.35891658067703247,0.10421819984912872,0
34170_0003_A_17	0.18354414403438568,1.5261633396148682,1.2621397972106934,0.35891568660736084,0.1042187362909317,0
34170_0003_A_18	0.18354307115077972,1.5261636972427368,1.2621382474899292,0.35891586542129517,0.10421819984912872,0
34170_0003_A_20	0.18354342877864838,1.5261633396148682,1.262139081954956,0.35891640186309814,0.10421819984912872,0
34170_0003_A_21	0.18354414403438568,1.5261638164520264,1.262139081954956,0.35891568660736084,0.10421837866306305,0
34170_0004_A_24	0.15495966374874115,1.5890575647354126,1.288222312927246,0.3537486791610718,0.1515965610742569,0
34170_0004_A_25	0.18354253470897675,1.5261633396148682,1.2621393203735352,0.35891586542129517,0.10421819984912872,0
34170_0004_A_26	0.15495966374874115,1.5890575647354126,1.2882219552993774,0.3537483215332031,0.1515958458185196,0
34170_0004_A_27	0.15496037900447845,1.589057207107544,1.288222312927246,0.3537479639053345,0.1515965610742569,0
34170_0004_A_28	0,0.759050726890564,1.219367504119873,0.8003219962120056,0,0.0031651128083467484
34170_0005_A_31	0,0.7253128290176392,0.5623736381530762,0,0.27715811133384705,0
34170_0005_A_33	0.0772542804479599,0.735481858253479,0.40845975279808044,0,0.19954660534858704,0
34170_0005_A_35	0.07731203734874725,0.7355606555938721,0.4084635078907013,0,0.19957181811332703,0
34170_0004_A_29	0,2.271294593811035,0,0.2705620229244232,0.7738618850708008,0
34170_0005_A_34	0,1.9207267761230469,0.9157223701477051,0.4578765034675598,0,0.03968016803264618
34170_0005_A_36	0,1.9207266569137573,0.9157212972640991,0.45787596702575684,0,0.03967998921871185
34170_0005_A_32	0,0.6226398944854736,0,0,0,0.09245763719081879
34170_0007_A_42	0.44745922088623047,0.7475496530532837,0.9197835922241211,0,0,0
34170_0007_A_43	1.065897822380066,1.1899231672286987,0.5481817722320557,0,0,0.005104886367917061
34170_0007_A_44	0,0.5069930553436279,0.5385631322860718,0.17674675583839417,0.1735200434923172,0
34170_0007_A_45	0,0.5069928169250488,0.5385627746582031,0.17674702405929565,0.17351986467838287,0
34170_0007_A_46	0,0.5069935321807861,0.5385624170303345,0.1767463982105255,0.17352093756198883,0
34170_0007_A_47	0,0.17391616106033325,0.35559824109077454,0.12474989891052246,0.37409332394599915,0.03748433291912079
34170_0008_A_49	1.150807499885559,0.3701823353767395,0.21532908082008362,0,0.5817402601242065,0.5315603017807007
34170_0008_A_50	1.1507854461669922,0.3701719641685486,0.21530494093894958,0,0.5817219018936157,0.5315847396850586
34170_0008_A_51	0.8915703296661377,0.061218492686748505,0,0.7756882309913635,0,0
34170_0009_A_54	0.46765393018722534,1.3487601280212402,1.1262511014938354,0,1.8301353454589844,0.28910934925079346
34170_0009_A_56	0.49580371379852295,1.3107835054397583,1.0829592943191528,0.223088800907135,0,0
34170_0009_A_58	0.41115301847457886,1.2571518421173096,1.2292096614837646,0.30114126205444336,0,0
34170_0009_A_59	0.7519704103469849,0.12265824526548386,0.3117348253726959,0.02826494537293911,0,0
34170_0009_A_60	0.7519701719284058,0.12265896052122116,0.3117353618144989,0.028265124186873436,0,0
34170_0009_A_61	0.6922397613525391,0.18490535020828247,0,0.8706152439117432,0,0
34170_0009_A_62	0.7085561752319336,0.1977483034133911,0,0.8466848731040955,0,0
34170_0009_A_63	0.6664231419563293,0.1902981996536255,0,0.8173861503601074,0,0
34170_0009_A_64	0.47767555713653564,0.3536248803138733,0.3565123379230499,0.051660604774951935,0.25379678606987,0.09739076346158981
34170_0010_A_66	0.31473422050476074,0.056743137538433075,0.2186863124370575,0.1662071943283081,0.42749252915382385,0.1600162386894226
34170_0010_A_67	0,0.7406152486801147,1.0268628597259521,0,1.1051474809646606,2.3955252170562744
34170_0011_A_71	0,1.9757931232452393,0,0.4721928834915161,0.47689881920814514,0
34170_0011_A_74	0.750159740447998,0.8097636699676514,0.6389181613922119,0.15467870235443115,0.38295337557792664,0
34170_0011_A_76	0,0.4439641535282135,0,0.7109034061431885,1.304561972618103,0
34170_0011_A_78	1.6294441223144531,1.1577727794647217,0.6097110509872437,0,0,0.5792403221130371
34170_0011_A_80	1.7915586233139038,1.1242587566375732,0.6912798881530762,0,0,0.5511300563812256
34170_0011_A_81	1.7915592193603516,1.1242587566375732,0.6912795305252075,0,0,0.5511307716369629
34170_0012_A_83	0.07705973088741302,0.7684370279312134,0.5696229934692383,0.19944235682487488,0.17350108921527863,0.08157019317150116
34170_0012_A_84	0,0,1.0598883628845215,0.6679710745811462,0,0
34170_0012_A_85	0,0,1.0232499837875366,0.659477949142456,0.004565197974443436,0.03343759477138519
34170_0012_A_86	0.43056201934814453,0.46843501925468445,0.4687270224094391,0.09329081326723099,0.4353533685207367,0
